Antibiotic,Class,ATC code,Category ,Listed on EML/EMLc 2023
Amikacin,Aminoglycosides,J01GB06,Access,Yes
Amoxicillin,Aminopenicillins,J01CA04,Access,Yes
Amoxicillin/Clavulanic acid,Beta-lactam/beta-lactamase-inhibitor,J01CR02,Access,Yes
Ampicillin,Aminopenicillins,J01CA01 ,Access,Yes
Ampicillin/Sulbactam,Beta-lactam/beta-lactamase-inhibitor,J01CR01,Access,No
Arbekacin,Aminoglycosides,J01GB12,Watch,No
Aspoxicillin,Penicillins ,J01CA19,Watch,No
Azidocillin,Penicillins ,J01CE04,Access,No
Azithromycin,Macrolides,J01FA10,Watch,Yes
Azlocillin,Penicillins ,J01CA09,Watch,No
Aztreonam,Monobactams,J01DF01,Reserve,No
Bacampicillin,Penicillins ,J01CA06,Access,No
Bekanamycin,Aminoglycosides,J01GB13,Watch,No
Benzathine-benzylpenicillin,Penicillins,J01CE08,Access,Yes
Benzylpenicillin,Penicillins,J01CE01,Access,Yes
Biapenem,Carbapenems,J01DH05,Watch,No
Brodimoprim,Trimethoprim-derivatives,J01EA02,Access,No
Carbenicillin,Penicillins,J01CA03,Watch,No
Carindacillin,Penicillins,J01CA05,Watch,No
Carumonam,Monobactams,J01DF02,Reserve,No
Cefacetrile,First-generation-cephalosporins,J01DB10,Access,No
Cefaclor,Second-generation-cephalosporins,J01DC04,Watch,No
Cefadroxil,First-generation-cephalosporins,J01DB05,Access,No
Cefalexin,First-generation-cephalosporins,J01DB01,Access,Yes
Cefaloridine,First-generation-cephalosporins,J01DB02,Access,No
Cefalotin,First-generation-cephalosporins,J01DB03,Access,No
Cefamandole,Second-generation-cephalosporins,J01DC03,Watch,No
Cefapirin,First-generation-cephalosporins,J01DB08,Access,No
Cefatrizine,First-generation-cephalosporins,J01DB07,Access,No
Cefazedone,First-generation-cephalosporins,J01DB06,Access,No
Cefazolin,First-generation-cephalosporins,J01DB04,Access,Yes
Cefbuperazone,Second-generation-cephalosporins,J01DC13,Watch,No
Cefcapene-pivoxil,Third-generation-cephalosporins,J01DD17,Watch,No
Cefdinir,Third-generation-cephalosporins,J01DD15,Watch,No
Cefditoren-pivoxil,Third-generation-cephalosporins,J01DD16,Watch,No
Cefepime,Fourth-generation-cephalosporins,J01DE01,Watch,No
Cefetamet-pivoxil,Third-generation-cephalosporins,J01DD10,Watch,No
Cefiderocol,Other-cephalosporins,J01DI04,Reserve,Yes
Cefixime,Third-generation-cephalosporins,J01DD08,Watch,Yes
Cefmenoxime,Third-generation-cephalosporins,J01DD05,Watch,No
Cefmetazole,Second-generation-cephalosporins,J01DC09,Watch,No
Cefminox,Second-generation-cephalosporins,J01DC12,Watch,No
Cefodizime,Third-generation-cephalosporins,J01DD09,Watch,No
Cefonicid,Second-generation-cephalosporins,J01DC06,Watch,No
Cefoperazone,Third-generation-cephalosporins,J01DD12,Watch,No
Ceforanide,Second-generation-cephalosporins,J01DC11,Watch,No
Cefoselis,Fourth-generation-cephalosporins,to be assigned,Watch,No
Cefotaxime,Third-generation-cephalosporins,J01DD01,Watch,Yes
Cefotetan,Second-generation-cephalosporins,J01DC05,Watch,No
Cefotiam,Second-generation-cephalosporins,J01DC07,Watch,No
Cefoxitin,Second-generation-cephalosporins,J01DC01,Watch,No
Cefozopran,Fourth-generation-cephalosporins,J01DE03,Watch,No
Cefpiramide,Third-generation-cephalosporins,J01DD11,Watch,No
Cefpirome,Fourth-generation-cephalosporins,J01DE02,Watch,No
Cefpodoxime-proxetil,Third-generation-cephalosporins,J01DD13,Watch,No
Cefprozil,Second-generation-cephalosporins,J01DC10,Watch,No
Cefradine,First-generation-cephalosporins,J01DB09,Access,No
Cefroxadine,First-generation-cephalosporins,J01DB11,Access,No
Cefsulodin,Third-generation-cephalosporins,J01DD03,Watch,No
Ceftaroline-fosamil,Fifth-generation cephalosporins,J01DI02 ,Reserve,No
Ceftazidime,Third-generation-cephalosporins,J01DD02,Watch,Yes
Ceftazidime/Avibactam,Third-generation-cephalosporins,J01DD52,Reserve,Yes
Cefteram-pivoxil,Third-generation-cephalosporins,J01DD18,Watch,No
Ceftezole,First-generation-cephalosporins,J01DB12,Access,No
Ceftibuten,Third-generation-cephalosporins,J01DD14,Watch,No
Ceftizoxime,Third-generation-cephalosporins,J01DD07,Watch,No
Ceftobiprole-medocaril,Fifth-generation cephalosporins,J01DI01,Reserve,No
Ceftolozane/Tazobactam,Fifth-generation cephalosporins,J01DI54,Reserve,Yes
Ceftriaxone,Third-generation-cephalosporins,J01DD04,Watch,Yes
