organism_name,organism_group
Staphylococcus aureus,Gram-positive cocci
Staphylococcus epidermidis,Gram-positive cocci
Staphylococcus haemolyticus,Gram-positive cocci
Staphylococcus saprophyticus,Gram-positive cocci
Coag-neg. staphylococci not specified,Gram-positive cocci
Other coagulase-negative staphylococci (CNS),Gram-positive cocci
Coagulase-negative staphylococci,Gram-positive cocci
Staphylococcus spp. not specified,Gram-positive cocci
Staphylococcus spp.,Gram-positive cocci
Streptococcus pneumoniae,Gram-positive cocci
Streptococcus agalactiae (B),Gram-positive cocci
Streptococcus agalactiae,Gram-positive cocci
Streptococcus pyogenes (A),Gram-positive cocci
Streptococcus pyogenes,Gram-positive cocci
Other haemolytic streptococci (C G),Gram-positive cocci
Streptococcus spp. other,Gram-positive cocci
Streptococcus spp. not specified,Gram-positive cocci
Streptococcus spp.,Gram-positive cocci
Enterococcus faecalis,Gram-positive cocci
Enterococcus faecium,Gram-positive cocci
Enterococcus spp. other,Gram-positive cocci
Enterococcus spp. not specified,Gram-positive cocci
Enterococcus spp.,Gram-positive cocci
Gram-positive cocci not specified,Gram-positive cocci
Other Gram-positive cocci,Gram-positive cocci
Moraxella catarrhalis,Gram-negative cocci
Moraxella spp. other,Gram-negative cocci
Moraxella spp. not specified,Gram-negative cocci
Moraxella spp.,Gram-negative cocci
Neisseria meningitidis,Gram-negative cocci
Neisseria gonorrhoeae,Gram-negative cocci
Neisseria spp. other,Gram-negative cocci
Neisseria spp. not specified,Gram-negative cocci
Neisseria spp.,Gram-negative cocci
Gram-negative cocci not specified,Gram-negative cocci
Other Gram-negative cocci,Gram-negative cocci
Corynebacterium spp.,Gram-positive bacilli
Bacillus spp.,Gram-positive bacilli
Lactobacillus spp.,Gram-positive bacilli
Listeria monocytogenes,Gram-positive bacilli
Gram-positive bacilli not specified,Gram-positive bacilli
Other Gram-positive bacilli,Gram-positive bacilli
Citrobacter freundii,Enterobacterales
Citrobacter koseri (e.g. diversus),Enterobacterales
Citrobacter koseri,Enterobacterales
Citrobacter spp. other,Enterobacterales
Citrobacter spp. not specified,Enterobacterales
Citrobacter spp.,Enterobacterales
Enterobacter cloacae,Enterobacterales
Enterobacter aerogenes (renamed to Klebsiella aerogenes),Enterobacterales
Enterobacter aerogenes,Enterobacterales
Enterobacter asburiae,Enterobacterales
Enterobacter gergoviae,Enterobacterales
Enterobacter spp. other,Enterobacterales
Enterobacter spp. not specified,Enterobacterales
Enterobacter spp.,Enterobacterales
Escherichia coli,Enterobacterales
Klebsiella aerogenes,Enterobacterales
Klebsiella pneumoniae,Enterobacterales
Klebsiella oxytoca,Enterobacterales
Klebsiella spp. other,Enterobacterales
Klebsiella spp. not specified,Enterobacterales
Klebsiella spp.,Enterobacterales
Proteus mirabilis,Enterobacterales
Proteus vulgaris,Enterobacterales
Proteus rettegeri,Enterobacterales
Proteus spp. other,Enterobacterales
Proteus spp. not specified,Enterobacterales
Proteus spp.,Enterobacterales
Serratia marcescens,Enterobacterales
Serratia liquefaciens,Enterobacterales
Serratia spp. other,Enterobacterales
Serratia spp. not specified,Enterobacterales
Serratia spp.,Enterobacterales
Hafnia alvei,Enterobacterales
Morganella morganii,Enterobacterales
Morganella spp.,Enterobacterales
Providencia spp.,Enterobacterales
Salmonella Enteritidis,Enterobacterales
Salmonella Typhi or Paratyphi,Enterobacterales
Salmonella Typhi,Enterobacterales
Salmonella Paratyphi,Enterobacterales
Salmonella Typhimurium,Enterobacterales
Salmonella spp. not specified,Enterobacterales
Salmonella spp. other,Enterobacterales
Salmonella spp.,Enterobacterales
Shigella spp.,Enterobacterales
Yersinia spp.,Enterobacterales
Other Enterobacterales,Enterobacterales
Enterobacterales not specified,Enterobacterales
Aeromonas spp.,Gram-negative bacilli
Acinetobacter baumannii,Gram-negative bacilli
Acinetobacter calcoaceticus,Gram-negative bacilli
Acinetobacter haemolyticus,Gram-negative bacilli
Acinetobacter lwoffii,Gram-negative bacilli
Acinetobacter spp. other,Gram-negative bacilli
Acinetobacter spp. not specified,Gram-negative bacilli
Acinetobacter spp.,Gram-negative bacilli
Pseudomonas aeruginosa,Gram-negative bacilli
Stenotrophomonas maltophilia,Gram-negative bacilli
